latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
-41.7732,-87.2889,ancud,cl,33.81,83,12,2.59,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ancud&units=imperial
-23.142,-13.9489,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
-30.1471,-37.6232,arraial do cabo,br,70.26,100,56,8.86,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=arraial%20do%20cabo&units=imperial
60.8765,28.955,lesogorskiy,ru,60.8,82,0,3.36,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=lesogorskiy&units=imperial
-0.6977,-7.147,harper,lr,93.2,35,40,10.2,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=harper&units=imperial
-8.7008,-17.6538,georgetown,sh,77.0,94,40,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=georgetown&units=imperial
-0.7512,-10.9305,harper,lr,93.2,35,40,10.2,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=harper&units=imperial
-14.6727,-129.359,rikitea,pf,75.03,97,0,15.68,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=rikitea&units=imperial
-25.6542,-107.2193,rikitea,pf,75.03,97,0,15.68,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=rikitea&units=imperial
0.8795,-68.2088,sao gabriel da cachoeira,br,71.43,97,92,2.26,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=sao%20gabriel%20da%20cachoeira&units=imperial
-4.4101,-4.3447,tabou,ci,77.19,100,88,13.11,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=tabou&units=imperial
-1.4999,-85.8168,san cristobal,ec,51.8,87,75,3.36,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=san%20cristobal&units=imperial
-17.4802,-42.5765,capelinha,br,54.78,80,0,6.29,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=capelinha&units=imperial
-6.4529,-40.4448,parambu,br,79.8,46,68,8.3,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=parambu&units=imperial
-5.1539,4.7711,omboue,ga,73.81,100,92,8.19,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=omboue&units=imperial
10.5989,4.627,kontagora,ng,70.89,97,36,5.28,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kontagora&units=imperial
31.5144,-18.3565,ponta do sol,pt,61.39,60,44,7.4,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ponta%20do%20sol&units=imperial
4.0468,2.8171,cotonou,bj,77.0,78,40,14.99,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=cotonou&units=imperial
-10.6629,39.217,kitangari,tz,60.36,92,0,2.59,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kitangari&units=imperial
37.1445,-16.589,camacha,pt,71.6,78,20,6.93,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=camacha&units=imperial
-44.0324,-96.4104,castro,cl,32.82,99,20,1.81,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=castro&units=imperial
22.0257,47.1534,riyadh,sa,86.0,15,0,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=riyadh&units=imperial
